topic,information
Cell structure,"Cells are the basic units of life. Prokaryotic cells lack a nucleus, while eukaryotic cells have a membrane-bound nucleus and organelles."
DNA and genes,"DNA contains genetic information in sequences of nucleotides. Genes are segments of DNA that code for proteins, which determine traits."
Photosynthesis,"Plants convert light energy into chemical energy. Uses carbon dioxide and water to produce glucose and oxygen. Occurs in chloroplasts."
Cell respiration,"Process that releases energy from glucose. Occurs in mitochondria. Produces ATP, carbon dioxide, and water. Requires oxygen for aerobic respiration."
Mitosis and meiosis,"Mitosis produces two identical daughter cells for growth and repair. Meiosis produces four genetically different gametes for sexual reproduction."
Evolution by natural selection,"Organisms with advantageous traits survive and reproduce more successfully. Over time, beneficial traits become more common in a population."
Enzyme function,"Enzymes are biological catalysts that speed up chemical reactions. They are proteins with specific shapes that bind to specific substrates."
Human digestive system,"Breaks down food into nutrients. Includes the mouth, esophagus, stomach, small intestine, and large intestine. Enzymes and acids aid digestion."
Nervous system,"Coordinates body activities through electrical signals. The central nervous system includes the brain and spinal cord. The peripheral nervous system connects to the body."
Immune system,"Protects the body from pathogens. White blood cells identify and destroy invaders. Antibodies provide specific defense against antigens."
