topic,information
Budgeting basics,"Track income and expenses. Use the 50-30-20 rule: 50% needs, 30% wants, 20% savings. Review your budget monthly and adjust as needed."
Emergency fund,"Save 3-6 months of living expenses. Keep in an accessible savings account. Build gradually through automatic transfers. Use only for true emergencies."
Credit score,"Ranges from 300-850. Pay bills on time, keep credit utilization below 30%, and maintain old accounts. Check your credit report annually for errors."
Compound interest,"Interest earned on both principal and accumulated interest. Starting early makes a huge difference. Even small amounts grow significantly over time."
Investing basics,"Diversify across stocks, bonds, and other assets. Consider index funds for broad market exposure. Invest for the long term and avoid emotional decisions."
Retirement planning,"Start contributing to retirement accounts early. Take advantage of employer match programs. Aim to save 15% of income for retirement."
Debt management,"Pay high-interest debt first. Make more than minimum payments. Consider debt consolidation or balance transfers. Avoid taking new debt while paying off existing."
Insurance needs,"Have health, auto, and life insurance. Renters or homeowners insurance protects assets. Disability insurance protects income. Review coverage annually."
Tax planning,"Maximize tax-advantaged accounts like 401k and IRA. Keep records of deductible expenses. Consider tax-loss harvesting. Consult a tax professional for complex situations."
Financial goals,"Set specific, measurable, achievable, relevant, and time-bound goals. Write them down. Create an action plan with milestones. Review progress regularly."
